rowid,orderid,orderdate,shipdate,shipmode,customerid,customername,segment_x,country,city,state,postalcode,region,productid,category,sub-category,productname,sales,quantity,discount,profit,rscore,fscore,mscore,segment_y
488,CA-2015-150277,2014-04-26,2014-05-10,Second Class,CG-48188,John Smith,Consumer,United States,Indianapolis,Kansas,68194,Central,PRD-4161,Office Supplies,Binders,3-Ring Binder,1265.82,1,0.45,-5.59,1,3,2,At Risk
489,CA-2015-178561,2014-10-14,2014-10-28,Second Class,CG-45058,Mike Johnson,Corporate,United States,Chicago,Michigan,16378,Central,PRD-5368,Technology,Computers,Apple MacBook,3773.94,5,0.46,-36.13,1,2,4,At Risk
490,CA-2015-109150,2016-10-28,2016-11-08,First Class,CG-89349,Amy Martinez,Corporate,United States,San Francisco,California,59105,West,PRD-1729,Furniture,Tables,Training Table,332.62,2,0.49,-24.94,4,5,1,Loyal
491,CA-2016-154387,2015-08-16,2015-08-21,Second Class,CG-94494,Mike Johnson,Consumer,United States,Boston,Delaware,12102,East,PRD-4255,Office Supplies,Labels,Labels Item,323.29,9,0.44,-1.81,2,5,1,At Risk
492,CA-2016-166550,2015-04-25,2015-04-29,First Class,CG-61833,Amy Martinez,Home Office,United States,Los Angeles,Arizona,54186,West,PRD-3833,Technology,Accessories,Accessories Item,1727.67,5,0.08,152.58,2,3,2,At Risk
493,CA-2016-100336,2017-03-25,2017-04-03,Same Day,CG-45553,Tom Anderson,Home Office,United States,New York,Connecticut,22661,East,PRD-5485,Technology,Phones,Samsung Galaxy,3667.24,8,0.5,414.66,5,2,4,Regular
494,CA-2016-195164,2015-10-16,2015-10-26,First Class,CG-68313,Lisa Davis,Home Office,United States,Boston,Delaware,64484,East,PRD-2928,Technology,Machines,Machines Item,3103.03,3,0.27,558.7,3,4,4,Loyal
495,CA-2016-176931,2017-03-28,2017-04-06,Second Class,CG-57600,Amy Martinez,Consumer,United States,Indianapolis,Iowa,83669,Central,PRD-2410,Office Supplies,Storage,Storage Item,4090.34,5,0.28,226.64,5,3,5,Loyal
496,CA-2017-119476,2017-05-09,2017-05-13,Standard Class,CG-86928,Chris Wilson,Home Office,United States,New York,Massachusetts,81002,East,PRD-2444,Technology,Accessories,Accessories Item,408.96,3,0.48,99.33,5,5,1,Loyal
497,CA-2017-170592,2017-10-09,2017-10-21,Same Day,CG-78280,John Smith,Home Office,United States,Los Angeles,Nevada,40462,West,PRD-2415,Furniture,Chairs,Executive Chair,3824.52,7,0.21,800.08,5,4,4,Champion
498,CA-2017-145236,2015-10-19,2015-10-26,Second Class,CG-69020,Tom Anderson,Consumer,United States,Philadelphia,Connecticut,52384,East,PRD-1329,Furniture,Bookcases,Bookcases Item,3583.39,5,0.31,-106.26,3,4,4,Loyal
499,CA-2016-172340,2015-05-01,2015-05-06,Same Day,CG-64262,David Brown,Consumer,United States,Baltimore,Connecticut,95720,East,PRD-7136,Furniture,Chairs,Executive Chair,69.87,3,0.4,-2.05,2,3,1,At Risk
500,CA-2017-159682,2015-09-11,2015-09-22,First Class,CG-31930,Kate Taylor,Corporate,United States,Dallas,Alabama,37887,South,PRD-5042,Office Supplies,Binders,Sheet Protectors,3723.9,4,0.14,416.65,2,2,4,At Risk
501,CA-2016-124727,2014-10-21,2014-10-22,Second Class,CG-34102,Lisa Davis,Consumer,United States,Los Angeles,California,96240,West,PRD-3174,Office Supplies,Paper,Specialty Paper,450.28,7,0.13,76.61,1,2,1,At Risk
502,CA-2015-174946,2017-09-14,2017-09-27,Standard Class,CG-13027,Tom Anderson,Home Office,United States,Houston,Kentucky,15759,South,PRD-5703,Office Supplies,Binders,Presentation Binder,2944.81,5,0.11,92.75,5,1,3,Regular
503,CA-2017-130613,2016-12-03,2016-12-16,Standard Class,CG-26389,Tom Anderson,Consumer,United States,Kansas City,Indiana,49522,Central,PRD-3300,Furniture,Bookcases,Bookcases Item,4582.5,3,0.37,788.09,4,5,5,Champion
504,CA-2017-105720,2015-03-29,2015-04-02,Standard Class,CG-40753,John Smith,Home Office,United States,Phoenix,Arizona,84606,West,PRD-7782,Technology,Machines,Machines Item,1813.78,9,0.39,417.25,2,2,2,At Risk
505,CA-2016-197609,2016-04-26,2016-05-04,Standard Class,CG-96772,Sarah Williams,Corporate,United States,Boston,Maine,88625,East,PRD-4264,Furniture,Tables,Training Table,3408.59,2,0.01,-387.07,3,5,4,Loyal
506,CA-2017-192435,2015-09-08,2015-09-15,Same Day,CG-42983,Kate Taylor,Home Office,United States,Miami,Georgia,53522,South,PRD-5249,Furniture,Bookcases,Bookcases Item,3394.2,4,0.2,1282.52,2,2,4,At Risk
507,CA-2017-150604,2015-07-18,2015-07-20,Second Class,CG-20494,Lisa Davis,Home Office,United States,Baltimore,Maine,18849,East,PRD-5334,Technology,Accessories,Accessories Item,338.74,2,0.19,72.56,2,1,1,At Risk
508,CA-2015-164923,2014-05-05,2014-05-09,Standard Class,CG-37600,Lisa Davis,Home Office,United States,Nashville,Alabama,86681,South,PRD-6818,Furniture,Furnishings,Furnishings Item,1319.56,10,0.27,477.67,1,2,2,At Risk
509,CA-2014-116547,2017-02-14,2017-02-22,Standard Class,CG-31877,Jane Doe,Consumer,United States,Phoenix,Nevada,93963,West,PRD-6715,Technology,Machines,Machines Item,4200.23,1,0.46,226.15,4,2,5,Regular
510,CA-2016-113154,2017-04-26,2017-05-07,Standard Class,CG-62041,Mike Johnson,Home Office,United States,Hartford,Massachusetts,11742,East,PRD-3793,Technology,Accessories,Accessories Item,2259.43,10,0.44,766.67,5,3,3,Loyal
511,CA-2017-113069,2014-12-25,2015-01-04,First Class,CG-23501,David Brown,Consumer,United States,Hartford,Connecticut,26260,East,PRD-3551,Furniture,Furnishings,Furnishings Item,3713.54,3,0.06,1014.9,2,1,4,At Risk
512,CA-2017-102011,2017-07-06,2017-07-08,Second Class,CG-22524,John Smith,Corporate,United States,Dallas,Arkansas,41922,South,PRD-8108,Technology,Computers,Apple MacBook,2407.44,5,0.35,557.6,5,1,3,Regular
513,CA-2015-153736,2017-10-22,2017-10-31,Same Day,CG-18361,Lisa Davis,Corporate,United States,Detroit,Illinois,59089,Central,PRD-4398,Office Supplies,Pens,Pens Item,2503.48,9,0.45,-61.08,5,1,3,Regular
514,CA-2015-109807,2016-05-24,2016-05-25,First Class,CG-72021,Chris Wilson,Corporate,United States,San Francisco,Colorado,29879,West,PRD-5406,Office Supplies,Labels,Labels Item,3819.43,8,0.11,183.21,3,4,4,Loyal
515,CA-2017-134737,2017-02-12,2017-02-18,First Class,CG-81884,Tom Anderson,Home Office,United States,Los Angeles,California,41203,West,PRD-4575,Furniture,Tables,Training Table,1574.24,7,0.35,390.63,4,4,2,Loyal
516,CA-2016-181691,2016-10-12,2016-10-18,Same Day,CG-17055,Mike Johnson,Home Office,United States,San Francisco,Colorado,46454,West,PRD-1515,Office Supplies,Pens,Pens Item,4995.5,3,0.47,-610.24,4,1,5,Regular
517,CA-2017-185175,2014-04-07,2014-04-10,Standard Class,CG-13455,Kate Taylor,Corporate,United States,Nashville,Alabama,64380,South,PRD-3290,Furniture,Tables,Training Table,959.52,4,0.06,295.13,1,1,2,At Risk
518,CA-2014-143065,2015-12-07,2015-12-14,Standard Class,CG-62037,Kate Taylor,Corporate,United States,Miami,Alabama,53420,South,PRD-6291,Office Supplies,Labels,Labels Item,2940.27,1,0.24,1149.28,3,3,3,Loyal
519,CA-2017-141505,2017-08-10,2017-08-24,Second Class,CG-78679,Chris Wilson,Consumer,United States,Miami,Arkansas,80688,South,PRD-7191,Office Supplies,Labels,Labels Item,223.07,4,0.45,49.57,5,4,1,Loyal
520,CA-2017-170912,2017-10-06,2017-10-20,Standard Class,CG-20911,Mike Johnson,Consumer,United States,Detroit,Indiana,89700,Central,PRD-2713,Technology,Phones,Samsung Galaxy,1770.95,10,0.29,622.57,5,1,2,Regular
521,CA-2014-180931,2016-02-20,2016-03-01,First Class,CG-23622,Kate Taylor,Corporate,United States,Seattle,Oregon,34057,West,PRD-1129,Technology,Machines,Machines Item,2330.07,2,0.37,-63.5,3,1,3,Regular
522,CA-2014-130771,2016-12-10,2016-12-17,First Class,CG-44400,Jane Doe,Corporate,United States,Los Angeles,Arizona,74440,West,PRD-8790,Furniture,Furnishings,Furnishings Item,2313.58,2,0.07,855.61,4,2,3,Regular
523,CA-2016-129817,2015-10-15,2015-10-21,First Class,CG-91015,David Brown,Corporate,United States,Chicago,Indiana,93147,Central,PRD-2641,Office Supplies,Pens,Pens Item,4618.0,2,0.26,-730.77,3,5,5,Loyal
524,CA-2014-156881,2017-11-27,2017-12-06,Same Day,CG-30352,Lisa Davis,Corporate,United States,New York,Delaware,22027,East,PRD-6018,Furniture,Bookcases,Bookcases Item,4233.94,5,0.27,-291.87,5,2,5,Regular
525,CA-2014-199663,2016-05-02,2016-05-13,Standard Class,CG-21050,John Smith,Home Office,United States,Hartford,Massachusetts,36787,East,PRD-9958,Furniture,Furnishings,Furnishings Item,4861.66,3,0.12,1400.84,3,1,5,Regular
526,CA-2014-158153,2016-04-16,2016-04-19,Standard Class,CG-95830,David Brown,Home Office,United States,Boston,Massachusetts,65868,East,PRD-8478,Furniture,Chairs,Task Chair,2323.48,9,0.06,521.71,3,5,3,Loyal
527,CA-2015-190964,2014-11-02,2014-11-15,Standard Class,CG-61097,Chris Wilson,Consumer,United States,San Francisco,Colorado,35891,West,PRD-7542,Technology,Accessories,Accessories Item,4496.46,2,0.45,1279.86,1,3,5,At Risk
528,CA-2016-103794,2015-09-07,2015-09-15,Standard Class,CG-50549,Jane Doe,Corporate,United States,New York,Maryland,89410,East,PRD-7114,Office Supplies,Paper,Cardstock,2266.36,8,0.25,-309.32,2,3,3,At Risk
529,CA-2014-142516,2016-02-10,2016-02-23,Second Class,CG-40062,Amy Martinez,Home Office,United States,Philadelphia,Maine,85552,East,PRD-8906,Technology,Machines,Machines Item,718.99,9,0.3,-86.11,3,2,1,Regular
530,CA-2014-138452,2015-01-12,2015-01-14,Second Class,CG-42426,Sarah Williams,Home Office,United States,Seattle,California,73068,West,PRD-5918,Technology,Accessories,Accessories Item,3755.25,6,0.44,1133.35,2,2,4,At Risk
531,CA-2016-149131,2017-01-06,2017-01-07,First Class,CG-47247,Lisa Davis,Home Office,United States,Kansas City,Iowa,59508,Central,PRD-2767,Furniture,Tables,Computer Table,2103.79,3,0.12,-261.34,4,3,3,Loyal
532,CA-2017-119080,2016-08-27,2016-09-06,First Class,CG-68085,Amy Martinez,Home Office,United States,Baltimore,Maryland,65403,East,PRD-5413,Office Supplies,Storage,Storage Item,132.15,3,0.28,21.67,4,4,1,Loyal
533,CA-2015-169621,2015-05-09,2015-05-11,Same Day,CG-92114,David Brown,Corporate,United States,Denver,California,12596,West,PRD-1467,Technology,Accessories,Accessories Item,705.77,9,0.17,230.93,2,5,1,At Risk
534,CA-2017-174177,2015-04-07,2015-04-08,First Class,CG-26569,Sarah Williams,Corporate,United States,Los Angeles,Nevada,49351,West,PRD-9586,Furniture,Tables,Training Table,1590.45,3,0.27,297.56,2,1,2,At Risk
535,CA-2015-122280,2015-09-08,2015-09-13,Standard Class,CG-27206,Tom Anderson,Home Office,United States,New York,Massachusetts,43723,East,PRD-6458,Furniture,Tables,Conference Table,4948.91,4,0.13,871.74,2,1,5,At Risk
536,CA-2015-110350,2017-12-20,2017-12-24,First Class,CG-79041,David Brown,Corporate,United States,Seattle,Nevada,69454,West,PRD-3317,Furniture,Chairs,Task Chair,3164.64,1,0.17,552.04,5,4,4,Champion
537,CA-2017-181226,2014-10-23,2014-10-24,First Class,CG-32361,Mike Johnson,Home Office,United States,Nashville,Georgia,89432,South,PRD-7487,Office Supplies,Storage,Storage Item,2003.1,6,0.07,-329.73,1,2,3,At Risk
538,CA-2015-165230,2016-08-06,2016-08-07,Second Class,CG-13744,Jane Doe,Home Office,United States,Seattle,Arizona,27911,West,PRD-1013,Furniture,Furnishings,Furnishings Item,79.61,3,0.09,19.34,4,1,1,Regular
539,CA-2015-130433,2014-04-29,2014-05-12,Standard Class,CG-14607,Lisa Davis,Consumer,United States,San Francisco,California,34854,West,PRD-3819,Technology,Computers,Dell Laptop,3958.96,5,0.21,1311.56,1,1,4,At Risk
540,CA-2017-183611,2017-02-25,2017-03-04,Same Day,CG-96972,John Smith,Consumer,United States,Milwaukee,Illinois,59054,Central,PRD-2316,Office Supplies,Pens,Pens Item,3312.24,9,0.43,370.16,4,5,4,Champion
541,CA-2016-160236,2016-04-25,2016-05-04,Same Day,CG-56771,Sarah Williams,Corporate,United States,Denver,Nevada,61727,West,PRD-8152,Furniture,Tables,Conference Table,872.17,1,0.1,42.93,3,3,1,Loyal
542,CA-2016-187404,2016-05-03,2016-05-08,Same Day,CG-52624,Jane Doe,Consumer,United States,Dallas,Georgia,50345,South,PRD-7131,Furniture,Tables,Conference Table,2968.76,9,0.4,278.24,3,3,3,Loyal
543,CA-2014-160981,2017-02-15,2017-02-26,First Class,CG-72410,Amy Martinez,Consumer,United States,Chicago,Kansas,26315,Central,PRD-3610,Furniture,Furnishings,Furnishings Item,927.71,9,0.11,-72.01,4,4,1,Loyal
544,CA-2016-188815,2016-12-21,2017-01-02,Same Day,CG-71235,Tom Anderson,Corporate,United States,San Francisco,Oregon,35457,West,PRD-7456,Office Supplies,Binders,Presentation Binder,483.28,1,0.32,63.62,4,4,1,Loyal
545,CA-2015-109681,2014-10-02,2014-10-11,Same Day,CG-80855,John Smith,Consumer,United States,Seattle,Colorado,76795,West,PRD-7165,Technology,Computers,HP Desktop,1962.55,7,0.26,13.75,1,4,2,At Risk
546,CA-2017-145293,2016-03-06,2016-03-19,Same Day,CG-45705,Amy Martinez,Corporate,United States,Los Angeles,Colorado,95315,West,PRD-7350,Office Supplies,Paper,Copy Paper,758.0,3,0.31,90.59,3,2,1,Regular
547,CA-2016-183746,2015-05-13,2015-05-20,Second Class,CG-81898,Tom Anderson,Consumer,United States,San Francisco,Nevada,41765,West,PRD-3187,Furniture,Bookcases,Bookcases Item,1693.2,3,0.04,440.5,2,4,2,At Risk
548,CA-2017-190480,2015-06-07,2015-06-14,Standard Class,CG-68306,Mike Johnson,Consumer,United States,Seattle,Arizona,92700,West,PRD-5639,Office Supplies,Pens,Pens Item,118.19,1,0.36,5.01,2,4,1,At Risk
549,CA-2016-159878,2015-02-21,2015-03-05,Second Class,CG-27709,Sarah Williams,Consumer,United States,Indianapolis,Indiana,89355,Central,PRD-7452,Technology,Accessories,Accessories Item,1967.24,8,0.27,440.07,2,1,2,At Risk
550,CA-2016-126111,2015-11-08,2015-11-15,Standard Class,CG-80685,Lisa Davis,Corporate,United States,Seattle,California,42429,West,PRD-9000,Technology,Phones,Samsung Galaxy,1524.58,3,0.37,303.54,3,5,5,Loyal
551,CA-2017-163335,2017-08-17,2017-08-19,Second Class,CG-33204,Amy Martinez,Consumer,United States,Boston,Connecticut,22098,East,PRD-3918,Technology,Phones,iPhone,4776.43,3,0.16,-448.2,5,2,5,Regular
552,CA-2014-131091,2014-06-11,2014-06-22,Standard Class,CG-87441,Tom Anderson,Home Office,United States,Phoenix,Nevada,20531,West,PRD-6935,Furniture,Bookcases,Bookcases Item,2751.15,4,0.08,-252.01,1,5,3,At Risk
553,CA-2017-174963,2016-07-10,2016-07-19,Same Day,CG-88326,David Brown,Consumer,United States,New York,Maryland,65950,East,PRD-1026,Office Supplies,Labels,Labels Item,1146.42,10,0.14,11.52,4,5,2,Loyal
554,CA-2016-175341,2016-01-30,2016-02-08,Same Day,CG-69840,Lisa Davis,Corporate,United States,Nashville,Florida,79887,South,PRD-2265,Technology,Accessories,Accessories Item,2437.81,6,0.42,191.51,3,4,3,Loyal
555,CA-2016-191655,2014-07-09,2014-07-19,Same Day,CG-92712,Mike Johnson,Consumer,United States,Seattle,Oregon,63950,West,PRD-9191,Technology,Computers,Dell Laptop,3621.41,10,0.01,-158.6,1,5,4,At Risk
556,CA-2016-102875,2017-01-01,2017-01-04,Second Class,CG-93342,Jane Doe,Consumer,United States,Milwaukee,Illinois,55140,Central,PRD-5946,Furniture,Chairs,Executive Chair,2169.95,5,0.38,833.21,4,5,3,Loyal
557,CA-2017-135976,2015-01-26,2015-01-31,Same Day,CG-83922,Tom Anderson,Home Office,United States,New York,Maine,62162,East,PRD-7292,Office Supplies,Binders,Presentation Binder,4737.18,8,0.39,650.06,2,5,5,At Risk
558,CA-2014-174177,2014-04-16,2014-04-18,First Class,CG-67013,Mike Johnson,Home Office,United States,Miami,Alabama,74451,South,PRD-3469,Technology,Computers,HP Desktop,807.51,4,0.39,-32.8,1,4,1,At Risk
559,CA-2014-179482,2015-07-04,2015-07-09,Standard Class,CG-78610,Sarah Williams,Consumer,United States,Chicago,Illinois,64767,Central,PRD-7337,Office Supplies,Pens,Pens Item,4845.81,8,0.35,-574.71,2,4,5,At Risk
560,CA-2017-137512,2016-02-12,2016-02-14,Second Class,CG-93858,John Smith,Corporate,United States,Denver,Colorado,32365,West,PRD-1570,Technology,Accessories,Accessories Item,308.2,3,0.43,-33.02,3,5,1,Loyal
561,CA-2015-179569,2017-10-11,2017-10-20,Same Day,CG-93824,Amy Martinez,Corporate,United States,New York,Maine,27607,East,PRD-3941,Office Supplies,Storage,Storage Item,4807.58,2,0.36,686.19,5,5,5,Champion
562,CA-2016-128705,2017-05-23,2017-05-27,Same Day,CG-79964,Chris Wilson,Home Office,United States,New York,Maryland,75878,East,PRD-9476,Furniture,Furnishings,Furnishings Item,343.86,4,0.04,-62.03,5,4,1,Loyal
563,CA-2015-181381,2017-05-19,2017-06-01,Standard Class,CG-50587,Tom Anderson,Home Office,United States,Milwaukee,Kansas,37862,Central,PRD-2353,Furniture,Furnishings,Furnishings Item,1623.18,3,0.08,-185.91,5,3,2,Loyal
564,CA-2016-188835,2014-03-22,2014-03-25,Same Day,CG-55504,Jane Doe,Consumer,United States,Boston,Delaware,33950,East,PRD-7626,Office Supplies,Binders,Sheet Protectors,2388.73,10,0.37,-348.42,1,3,3,At Risk
565,CA-2015-182345,2014-05-30,2014-06-08,Same Day,CG-73131,John Smith,Corporate,United States,Baltimore,Maine,67767,East,PRD-3109,Furniture,Tables,Training Table,1453.72,1,0.32,421.58,1,4,2,At Risk
566,CA-2014-182242,2015-01-21,2015-01-27,Standard Class,CG-80735,David Brown,Corporate,United States,Chicago,Indiana,48420,Central,PRD-8449,Technology,Accessories,Accessories Item,1183.41,2,0.04,370.32,2,4,2,At Risk
567,CA-2014-140492,2017-04-18,2017-04-25,Standard Class,CG-39770,John Smith,Corporate,United States,Chicago,Kansas,46275,Central,PRD-7581,Furniture,Furnishings,Furnishings Item,4717.26,7,0.34,1156.39,5,2,5,Regular
568,CA-2017-104373,2017-10-07,2017-10-17,First Class,CG-21738,Kate Taylor,Corporate,United States,Chicago,Iowa,86761,Central,PRD-7962,Office Supplies,Binders,Presentation Binder,4020.07,3,0.24,118.38,5,1,4,Regular
569,CA-2016-195991,2017-02-18,2017-03-01,First Class,CG-67915,Jane Doe,Home Office,United States,Baltimore,Maryland,98185,East,PRD-8377,Office Supplies,Binders,Sheet Protectors,2087.56,1,0.4,406.25,4,4,3,Loyal
570,CA-2015-111813,2015-03-21,2015-04-03,Standard Class,CG-50352,Lisa Davis,Home Office,United States,Chicago,Illinois,44875,Central,PRD-8758,Technology,Machines,Machines Item,74.71,5,0.22,-4.13,2,3,1,At Risk
571,CA-2016-142823,2016-09-08,2016-09-22,Second Class,CG-57943,Amy Martinez,Consumer,United States,Chicago,Michigan,22693,Central,PRD-9765,Technology,Machines,Machines Item,1546.96,8,0.45,-214.49,4,3,2,Loyal
572,CA-2017-123021,2015-03-04,2015-03-15,First Class,CG-64028,John Smith,Corporate,United States,Boston,Massachusetts,59239,East,PRD-7947,Office Supplies,Binders,3-Ring Binder,801.43,9,0.32,-134.75,2,3,1,At Risk
573,CA-2015-117322,2015-11-13,2015-11-24,Standard Class,CG-44053,Jane Doe,Consumer,United States,Dallas,Georgia,54175,South,PRD-2310,Technology,Accessories,Accessories Item,3155.99,8,0.03,1014.39,3,2,4,Regular
574,CA-2016-169579,2015-09-13,2015-09-24,Same Day,CG-30410,Tom Anderson,Consumer,United States,Seattle,Colorado,99372,West,PRD-5224,Furniture,Chairs,Task Chair,3423.45,7,0.32,790.73,2,2,4,At Risk
575,CA-2016-121567,2014-02-01,2014-02-03,Second Class,CG-49789,David Brown,Consumer,United States,Miami,Florida,57344,South,PRD-8125,Furniture,Furnishings,Furnishings Item,2150.7,9,0.48,809.12,1,3,3,At Risk
576,CA-2016-163156,2015-03-10,2015-03-15,Same Day,CG-11383,John Smith,Consumer,United States,Phoenix,Nevada,17502,West,PRD-5615,Furniture,Furnishings,Furnishings Item,618.02,9,0.01,115.73,2,1,1,At Risk
577,CA-2016-197853,2015-01-25,2015-02-06,First Class,CG-10012,Kate Taylor,Home Office,United States,Atlanta,Florida,10404,South,PRD-8540,Furniture,Chairs,Task Chair,655.85,7,0.07,-62.09,2,1,1,At Risk
578,CA-2016-115095,2014-08-29,2014-09-05,Same Day,CG-78592,David Brown,Home Office,United States,San Francisco,Nevada,13365,West,PRD-7050,Office Supplies,Binders,Sheet Protectors,1416.67,9,0.18,105.26,1,4,2,At Risk
579,CA-2017-109869,2016-09-07,2016-09-19,Second Class,CG-27865,Sarah Williams,Corporate,United States,Indianapolis,Michigan,42576,Central,PRD-6528,Office Supplies,Storage,Storage Item,3626.54,8,0.19,-257.34,4,1,4,Regular
580,CA-2015-198848,2015-05-12,2015-05-26,Standard Class,CG-55073,Lisa Davis,Corporate,United States,Nashville,Georgia,99939,South,PRD-1385,Technology,Machines,Machines Item,4037.55,9,0.06,265.42,2,3,4,At Risk
581,CA-2015-188647,2017-11-25,2017-11-29,Standard Class,CG-47586,Sarah Williams,Home Office,United States,Denver,Oregon,96537,West,PRD-3928,Technology,Machines,Machines Item,4321.85,6,0.46,995.39,5,3,5,Loyal
582,CA-2017-173048,2017-05-22,2017-05-23,Second Class,CG-71498,Sarah Williams,Corporate,United States,Philadelphia,Connecticut,12179,East,PRD-7833,Office Supplies,Pens,Pens Item,1854.14,10,0.32,-129.12,5,4,2,Loyal
583,CA-2016-111836,2017-12-12,2017-12-16,Same Day,CG-80136,David Brown,Home Office,United States,Houston,Alabama,98857,South,PRD-6318,Furniture,Furnishings,Furnishings Item,4852.45,10,0.38,672.99,5,4,5,Champion
584,CA-2017-101824,2015-02-23,2015-02-25,Same Day,CG-11090,David Brown,Home Office,United States,Phoenix,California,73509,West,PRD-2829,Office Supplies,Binders,Sheet Protectors,324.99,7,0.13,48.6,2,1,1,At Risk
585,CA-2016-170329,2016-03-23,2016-03-30,Second Class,CG-74478,Tom Anderson,Corporate,United States,Los Angeles,Oregon,55656,West,PRD-7491,Office Supplies,Binders,Sheet Protectors,2240.92,5,0.04,-197.9,3,4,3,Loyal
586,CA-2014-159609,2015-05-06,2015-05-08,Standard Class,CG-72530,Lisa Davis,Corporate,United States,Los Angeles,Nevada,60444,West,PRD-9765,Furniture,Tables,Conference Table,2090.83,9,0.41,632.93,2,4,3,At Risk
587,CA-2016-188188,2017-02-04,2017-02-12,Same Day,CG-49270,Amy Martinez,Home Office,United States,Miami,Kentucky,28764,South,PRD-3369,Furniture,Tables,Computer Table,1055.19,7,0.3,-192.51,4,3,2,Loyal
588,CA-2016-176619,2015-10-21,2015-10-31,First Class,CG-11197,Jane Doe,Home Office,United States,Kansas City,Indiana,21415,Central,PRD-8063,Technology,Accessories,Accessories Item,1637.74,3,0.29,-148.91,3,1,2,Regular
589,CA-2017-183695,2015-08-03,2015-08-13,Second Class,CG-66418,David Brown,Home Office,United States,Dallas,Kentucky,32027,South,PRD-8504,Office Supplies,Pens,Pens Item,1174.86,9,0.24,-125.57,2,4,2,At Risk
590,CA-2016-114201,2016-02-19,2016-02-20,First Class,CG-48393,Mike Johnson,Home Office,United States,Denver,Arizona,96853,West,PRD-9577,Technology,Computers,Apple MacBook,4360.65,8,0.25,1627.03,3,3,5,Loyal
591,CA-2015-161797,2016-08-12,2016-08-17,First Class,CG-88250,Mike Johnson,Home Office,United States,New York,Delaware,32338,East,PRD-1665,Technology,Accessories,Accessories Item,1569.56,3,0.46,542.73,4,5,2,Loyal
592,CA-2014-181205,2016-12-28,2017-01-08,Standard Class,CG-40305,David Brown,Corporate,United States,Kansas City,Illinois,13830,Central,PRD-7107,Furniture,Bookcases,Bookcases Item,4579.53,1,0.04,-327.62,4,2,5,Regular
593,CA-2016-179964,2017-08-21,2017-09-02,Second Class,CG-10946,Jane Doe,Corporate,United States,Baltimore,Maine,46747,East,PRD-2656,Furniture,Tables,Computer Table,4862.91,4,0.09,229.36,5,1,5,Regular
594,CA-2015-184889,2016-01-06,2016-01-17,Same Day,CG-81855,John Smith,Corporate,United States,Baltimore,Maine,97897,East,PRD-2290,Office Supplies,Labels,Labels Item,3936.16,2,0.38,-382.93,3,4,4,Loyal
595,CA-2014-183283,2015-09-24,2015-10-06,Same Day,CG-58974,Kate Taylor,Home Office,United States,Milwaukee,Indiana,93040,Central,PRD-7922,Office Supplies,Pens,Pens Item,2779.43,10,0.25,-387.77,3,3,3,Loyal
596,CA-2017-191891,2015-06-20,2015-06-23,Second Class,CG-34716,Tom Anderson,Consumer,United States,Seattle,Arizona,39334,West,PRD-5208,Office Supplies,Binders,3-Ring Binder,2890.33,6,0.39,162.61,2,2,3,At Risk
597,CA-2016-185097,2016-01-07,2016-01-09,Standard Class,CG-63967,Tom Anderson,Corporate,United States,Kansas City,Iowa,60023,Central,PRD-2907,Technology,Phones,Samsung Galaxy,1661.99,5,0.16,-6.36,3,3,2,Loyal
598,CA-2017-115292,2016-11-16,2016-11-17,Same Day,CG-83472,Jane Doe,Consumer,United States,San Francisco,California,43959,West,PRD-5967,Furniture,Bookcases,Bookcases Item,979.95,2,0.23,306.06,4,5,2,Loyal
599,CA-2015-105943,2016-10-15,2016-10-27,Same Day,CG-67292,Sarah Williams,Corporate,United States,Chicago,Iowa,24599,Central,PRD-1800,Technology,Computers,Apple MacBook,644.39,10,0.25,-99.74,4,4,1,Loyal
600,CA-2014-139893,2016-08-12,2016-08-15,Same Day,CG-61740,Tom Anderson,Consumer,United States,Milwaukee,Iowa,34662,Central,PRD-8748,Office Supplies,Labels,Labels Item,1615.95,7,0.23,-29.22,4,3,2,Loyal
601,CA-2017-115220,2014-07-21,2014-08-02,Standard Class,CG-42754,Lisa Davis,Corporate,United States,Indianapolis,Michigan,26700,Central,PRD-5502,Furniture,Furnishings,Furnishings Item,3167.08,7,0.02,417.68,1,2,4,At Risk
602,CA-2014-130775,2016-08-19,2016-08-20,Same Day,CG-31400,Tom Anderson,Corporate,United States,Nashville,Georgia,10220,South,PRD-9217,Technology,Computers,HP Desktop,4855.97,7,0.02,-552.01,4,2,5,Regular
603,CA-2015-150940,2015-10-18,2015-10-21,Same Day,CG-94671,Lisa Davis,Corporate,United States,Nashville,Alabama,80202,South,PRD-7531,Technology,Phones,Google Pixel,1152.34,5,0.33,389.52,3,5,2,Loyal
604,CA-2017-148629,2015-02-21,2015-03-01,First Class,CG-61081,David Brown,Consumer,United States,Baltimore,Maryland,51896,East,PRD-5467,Furniture,Bookcases,Bookcases Item,2968.25,6,0.44,-14.66,2,3,3,At Risk
605,CA-2017-176983,2016-01-30,2016-02-05,Standard Class,CG-59592,Mike Johnson,Consumer,United States,Nashville,Arkansas,96998,South,PRD-4393,Furniture,Furnishings,Furnishings Item,1192.72,1,0.19,21.73,3,3,2,Loyal
606,CA-2015-154379,2015-10-03,2015-10-12,Same Day,CG-38913,David Brown,Corporate,United States,Baltimore,Connecticut,11204,East,PRD-3126,Furniture,Furnishings,Furnishings Item,4100.09,6,0.32,1551.85,3,2,5,Regular
